id,first_name,last_name,email,country,salary,department,hire_date
68,Rodrick,Pietrowicz,rpietrowicz1v@narod.ru,Sweden,85496,Finance,2025-11-10
69,Byram,Reignard,breignard1w@dot.gov,Russia,50010,Finance,2025-10-11
70,Yorker,Gainsboro,ygainsboro1x@icio.us,Indonesia,63056,Finance,2025-07-31
71,Rozella,Greenshiels,rgreenshiels1y@icio.us,Kenya,62460,Sales,2025-05-08
72,Rosalyn,Muncie,rmuncie1z@utexas.edu,China,71500,Operations,2026-03-14
73,Max,Stallon,mstallon20@moonfruit.com,Brazil,64916,Operations,2026-03-30
74,Georgianne,Archdeacon,garchdeacon21@drupal.org,Bulgaria,102692,IT,2025-07-01
75,Joannes,Rawlyns,jrawlyns22@marketwatch.com,Russia,110641,Finance,2025-11-17
76,Richart,Hovenden,rhovenden23@ihg.com,Lithuania,117560,Finance,2025-12-10
77,Irwinn,Dray,idray24@360.cn,South Africa,103268,Sales,2026-02-03
78,Lorene,Ewdale,lewdale25@zimbio.com,South Africa,72973,Operations,2025-05-01
79,Lonnie,Ellams,lellams26@cam.ac.uk,Nigeria,66366,HR,2025-11-08
80,Marget,Wolseley,mwolseley27@xing.com,Dominican Republic,89976,Sales,2025-10-28
81,Bernarr,Kleinplac,bkleinplac28@parallels.com,China,58935,IT,2025-10-15
82,Gerald,Jepp,gjepp29@surveymonkey.com,France,61932,HR,2025-11-25
83,Neville,Klisch,nklisch2a@apple.com,China,68676,IT,2026-01-15
84,Joeann,Deadman,jdeadman2b@photobucket.com,Poland,92483,Sales,2025-07-23
85,Torrin,Thursfield,tthursfield2c@mapquest.com,United States,63550,IT,2025-11-24
86,Elicia,Cornewell,ecornewell2d@symantec.com,Tajikistan,51834,Finance,2026-03-10
87,Herbie,Brigginshaw,hbrigginshaw2e@loc.gov,Brazil,95916,Sales,2025-11-01
88,Rodrick,Gilluley,rgilluley2f@joomla.org,Yemen,111865,HR,2025-12-24
89,Park,Mallord,pmallord2g@arizona.edu,Portugal,76527,IT,2026-04-01
90,Avigdor,Jennery,ajennery2h@goo.gl,Portugal,83120,Finance,2025-12-21
91,Quill,Douris,qdouris2i@ameblo.jp,Guatemala,114348,HR,2025-12-14
92,Everett,Bartolomeo,ebartolomeo2j@wikispaces.com,Mexico,55536,Finance,2025-08-20
93,Mable,Hutcheson,mhutcheson2k@msn.com,Indonesia,57426,Operations,2025-05-15
94,Erastus,Macieiczyk,emacieiczyk2l@shinystat.com,China,70124,Sales,2025-10-19
95,Clevie,Toffolini,ctoffolini2m@noaa.gov,Philippines,62069,Finance,2026-01-31
96,Morganica,Han,mhan2n@zdnet.com,Ukraine,86083,Sales,2026-04-04
97,Nelly,Isley,nisley2o@cargocollective.com,Portugal,104803,Operations,2025-07-19
98,Camila,Frederick,cfrederick2p@eventbrite.com,Bulgaria,83581,HR,2025-09-03
99,Hollie,Moorfield,hmoorfield2q@cam.ac.uk,Gabon,34260,Finance,2026-03-08
100,Dicky,MacAless,dmacaless2r@printfriendly.com,Greece,86138,HR,2025-07-06
